Borrower_ID,Age,Marital_Status,Employment_Status,Annual_Income,Debt_to_Income_Ratio,Credit_Score,Loan_Amount,Loan_Term_Months,Interest_Rate,Loan_Purpose,Missed_Payments_Last_12M,Credit_Utilization_Ratio,Overdraft_Frequency,Delinquent
1,62,Single,Employed,117196,21.0,528,14144,12,15.15,Personal,4,43.75,0,1
2,27,Single,Unemployed,86237,34.08,503,47590,60,11.29,Education,4,32.26,0,1
3,32,Divorced,Contract,64597,21.11,520,27059,12,6.39,Personal,2,77.8,4,1
4,38,Single,Contract,90284,14.99,687,10164,60,9.4,Auto,4,25.38,0,1
5,24,Divorced,Unemployed,121327,21.58,381,20256,12,10.7,Education,5,76.73,1,1
6,45,Married,Unemployed,107841,20.68,373,44920,24,13.01,Home,1,46.98,2,1
7,62,Divorced,Unemployed,109733,22.97,357,20010,12,17.08,Education,2,15.3,4,1
8,42,Single,Contract,71856,45.39,769,14363,36,7.09,Auto,5,56.77,4,1
9,47,Married,Unemployed,38131,30.38,393,8087,12,7.29,Home,6,64.44,4,1
10,26,Married,Contract,98104,49.84,841,21476,60,17.91,Personal,5,67.66,5,1
11,56,Married,Self-Employed,34621,21.74,461,34735,12,19.31,Auto,4,70.96,4,1
12,28,Divorced,Self-Employed,130319,35.56,503,15016,36,16.44,Personal,4,35.93,0,1
13,29,Married,Self-Employed,51385,12.32,380,10613,48,17.24,Home,1,62.78,4,1
14,32,Married,Contract,146400,18.47,505,25428,48,19.93,Auto,3,81.97,3,1
15,29,Single,Unemployed,28392,23.52,535,43564,24,5.11,Personal,1,15.39,0,1
16,43,Single,Unemployed,56500,36.76,519,40339,24,15.85,Education,1,72.77,3,1
17,34,Single,Employed,106374,27.24,733,31941,48,17.96,Personal,5,62.28,5,1
18,28,Single,Contract,115448,23.57,411,21295,24,7.85,Education,1,43.75,2,1
19,51,Single,Employed,78082,42.32,400,8315,60,17.54,Personal,6,77.9,1,1
20,48,Married,Contract,48016,44.59,360,15789,48,5.03,Education,2,84.12,3,1
21,40,Married,Contract,40289,17.6,522,8832,60,16.04,Personal,5,35.09,0,1
22,59,Married,Unemployed,27455,48.43,382,17178,12,13.93,Home,3,19.59,4,1
23,37,Divorced,Employed,101183,13.28,835,25733,36,8.06,Auto,1,31.25,1,0
24,64,Divorced,Self-Employed,79929,22.65,374,5610,48,14.32,Personal,0,53.01,4,1
25,38,Single,Self-Employed,135456,12.75,550,29217,36,7.37,Auto,4,88.71,5,1
26,55,Single,Self-Employed,142127,36.54,437,22332,12,18.35,Home,2,32.54,1,1
27,43,Single,Self-Employed,86244,29.54,352,11048,48,17.44,Personal,0,36.68,1,1
28,62,Married,Unemployed,117154,27.67,737,41759,12,6.68,Home,4,12.88,2,1
29,59,Divorced,Unemployed,76333,15.1,615,28897,12,18.48,Home,5,29.96,0,1
30,44,Divorced,Contract,147642,34.83,458,20514,24,19.64,Home,3,11.98,5,1
31,43,Married,Unemployed,54970,16.37,410,30070,12,17.88,Home,1,75.33,3,1
32,44,Married,Unemployed,49219,10.95,497,31113,36,9.18,Personal,6,32.33,5,1
33,54,Married,Self-Employed,143107,11.1,567,16702,60,19.44,Auto,0,18.67,3,1
34,44,Divorced,Self-Employed,77199,34.25,823,12578,48,18.49,Home,2,13.55,3,0
35,22,Divorced,Unemployed,67739,27.25,638,45839,36,14.95,Personal,5,82.0,4,1
36,41,Divorced,Contract,62753,26.1,602,41333,24,7.88,Education,5,69.85,1,1
37,61,Divorced,Self-Employed,73225,31.92,300,24914,36,8.15,Auto,3,45.34,5,1
38,35,Divorced,Contract,124036,46.05,473,48178,12,9.26,Auto,0,75.47,1,1
39,65,Married,Unemployed,125717,17.97,325,8028,24,19.76,Personal,3,43.16,5,1
40,58,Single,Contract,84799,25.99,451,47995,12,18.39,Personal,6,44.01,1,1
41,55,Married,Employed,93060,19.97,424,34914,24,17.02,Auto,6,81.31,4,1
42,54,Married,Contract,137598,16.37,786,34495,36,16.28,Auto,6,72.21,3,1
43,62,Single,Self-Employed,77654,13.1,592,20367,36,10.04,Personal,1,22.07,3,1
44,31,Divorced,Unemployed,28418,26.59,638,40560,48,11.24,Home,6,43.61,4,1
45,23,Divorced,Contract,82518,10.24,660,24569,48,17.8,Education,4,69.8,4,1
46,60,Single,Contract,48760,20.92,797,6902,48,10.04,Education,5,23.2,3,1
47,30,Divorced,Employed,138872,25.76,327,10501,48,7.04,Education,1,14.02,3,1
48,42,Single,Contract,62840,23.5,688,23235,48,8.78,Personal,3,11.55,4,1
49,25,Married,Unemployed,105215,12.74,341,7033,24,7.99,Personal,4,22.19,1,1
50,52,Divorced,Employed,93920,47.91,776,21793,36,7.52,Personal,6,75.54,2,1
51,28,Divorced,Employed,141751,22.48,684,30995,24,6.14,Home,0,65.78,2,0
52,65,Divorced,Employed,124363,49.35,342,27754,60,11.43,Auto,0,50.48,2,1
53,22,Married,Contract,33833,27.34,670,46653,48,15.61,Education,1,68.7,5,0
54,39,Divorced,Contract,80931,27.42,574,26122,24,17.46,Personal,2,80.53,1,1
55,51,Divorced,Contract,64092,11.15,632,16917,48,8.18,Auto,2,32.37,4,0
56,39,Divorced,Employed,87715,47.92,387,20817,48,12.33,Home,5,48.09,5,1
57,53,Married,Employed,32196,21.77,714,20945,36,14.96,Auto,3,54.28,2,1
58,49,Divorced,Self-Employed,66112,38.11,577,25094,36,8.46,Home,2,19.56,4,1
59,33,Single,Unemployed,116810,29.37,837,44111,36,19.71,Home,2,28.2,1,0
60,41,Single,Unemployed,55954,11.82,355,41264,36,15.46,Home,5,79.48,3,1
61,28,Single,Self-Employed,81524,29.15,648,17082,12,8.79,Education,0,75.77,3,0
62,53,Single,Employed,39887,15.97,611,10582,24,6.78,Education,4,57.69,4,1
63,36,Divorced,Contract,79049,46.34,604,43569,48,9.58,Personal,4,86.81,0,1
64,35,Divorced,Unemployed,54687,36.42,460,20719,24,13.28,Home,0,42.68,5,1
65,60,Married,Self-Employed,24278,19.26,589,34755,12,15.31,Auto,6,73.3,4,1
66,64,Single,Contract,35043,31.78,452,22408,24,6.07,Home,6,34.61,5,1
67,58,Married,Contract,36299,28.75,611,31378,36,12.51,Education,3,16.44,0,1
68,49,Divorced,Self-Employed,99129,20.01,393,20002,60,13.81,Personal,6,63.78,2,1
69,58,Single,Unemployed,81669,30.76,752,23229,24,19.95,Education,5,75.14,0,1
70,52,Married,Contract,63687,22.84,407,15539,36,11.17,Education,2,63.01,3,1
71,57,Single,Contract,31542,22.58,631,12597,48,17.97,Personal,5,79.55,3,1
72,48,Single,Unemployed,87952,24.47,810,45986,48,16.4,Home,2,53.94,2,0
73,50,Divorced,Contract,35915,11.15,545,15379,36,13.26,Education,0,27.98,0,1
74,51,Single,Unemployed,85323,47.31,598,38349,36,11.23,Education,3,29.5,4,1
75,31,Married,Unemployed,140831,33.98,439,9575,36,16.59,Education,2,84.74,4,1
76,39,Single,Self-Employed,115164,21.94,801,14738,48,13.08,Auto,2,54.15,4,0
77,46,Married,Self-Employed,133980,17.55,544,42473,48,8.5,Education,0,35.45,3,1
78,46,Married,Unemployed,84923,48.59,429,37918,60,9.98,Personal,6,77.6,0,1
79,55,Married,Employed,114692,15.77,458,9903,48,16.72,Auto,2,59.86,3,1
80,63,Single,Self-Employed,131718,36.97,846,29904,36,14.4,Education,6,53.28,4,1
81,26,Single,Self-Employed,49817,39.87,744,11451,12,11.66,Auto,0,13.68,0,0
82,40,Married,Self-Employed,76450,15.82,843,32004,60,15.23,Home,1,24.01,4,0
83,46,Divorced,Unemployed,85230,46.51,446,20216,48,14.57,Education,2,63.35,3,1
84,40,Divorced,Unemployed,29681,27.67,653,43507,36,14.58,Education,5,30.01,2,1
85,34,Married,Contract,33979,19.49,667,42670,36,19.89,Auto,0,88.24,5,0
86,47,Married,Employed,94177,44.6,350,44741,48,17.49,Auto,6,73.91,4,1
87,44,Single,Unemployed,101381,20.03,440,46172,12,18.55,Personal,2,73.09,0,1
88,59,Married,Unemployed,31813,46.39,634,32230,24,8.01,Auto,4,50.14,2,1
89,32,Married,Contract,146796,42.26,646,12547,48,19.44,Home,6,87.32,5,1
90,65,Married,Self-Employed,31836,41.63,314,22331,60,6.85,Auto,5,69.92,2,1
91,59,Married,Self-Employed,34201,36.99,782,6640,60,18.26,Auto,4,27.71,0,1
92,62,Married,Self-Employed,105097,26.33,443,7971,12,9.57,Education,0,17.78,4,1
93,30,Married,Contract,68629,36.82,729,43491,24,18.28,Personal,6,49.15,3,1
94,39,Single,Self-Employed,48477,27.74,541,28768,12,19.71,Auto,4,82.14,5,1
95,44,Single,Contract,56160,17.59,425,34800,12,14.94,Personal,0,72.94,1,1
96,30,Divorced,Unemployed,28992,43.19,512,43429,24,17.2,Home,2,71.95,4,1
97,22,Married,Unemployed,149437,15.2,556,16435,12,14.92,Personal,1,11.19,1,1
98,59,Married,Employed,42838,20.61,429,32588,60,6.7,Personal,3,45.86,2,1
99,54,Divorced,Employed,79245,30.15,344,48181,60,9.52,Personal,0,89.89,3,1
100,49,Divorced,Employed,84260,38.5,754,9816,12,9.83,Home,0,20.1,4,0
