epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,175.804,1.67495,3.80174,1.90821,0.00518,0.79724,0.10451,0.0541,1.60748,4.35854,2.10535,0.00020825,0.00020825,0.00020825
2,348.75,1.59163,3.27176,1.83086,0.00425,0.82578,0.12741,0.05641,1.80209,4.10711,2.28905,0.000416418,0.000416418,0.000416418
3,518.951,1.57441,3.02345,1.83809,0.7098,0.10318,0.09147,0.04181,1.92605,3.97478,2.41472,0.00061601,0.00061601,0.00061601
4,758.038,1.62487,2.92409,1.8692,0.3555,0.22871,0.14809,0.08042,2.04752,4.19026,2.52797,0.00078352,0.00078352,0.00078352
5,953.31,1.6146,2.74983,1.83018,0.60466,0.17795,0.16137,0.07604,1.99113,4.45223,2.48315,0.000767026,0.000767026,0.000767026
6,1121.93,1.64401,2.6548,1.81869,0.32585,0.21417,0.17138,0.08147,2.01931,3.75451,2.54581,0.000750533,0.000750533,0.000750533
7,1288.62,1.63292,2.58179,1.82901,0.47623,0.20362,0.24095,0.07593,2.35133,4.07201,2.76713,0.00073404,0.00073404,0.00073404
8,1456.88,1.59236,2.5292,1.80048,0.6685,0.19081,0.22154,0.07835,2.24922,5.23591,2.74538,0.000717546,0.000717546,0.000717546
9,1624.88,1.58303,2.39556,1.7829,0.31341,0.35139,0.24052,0.12759,1.8395,3.47487,2.26593,0.000701053,0.000701053,0.000701053
10,1793.01,1.54094,2.32721,1.73004,0.62469,0.27223,0.26315,0.13304,1.86395,3.11667,2.22839,0.000684559,0.000684559,0.000684559
11,1960.49,1.49518,2.29976,1.69705,0.34419,0.34704,0.24297,0.12525,1.85049,3.24757,2.32591,0.000668066,0.000668066,0.000668066
12,2128.21,1.49608,2.16414,1.70895,0.42979,0.31901,0.25718,0.11416,1.85777,3.15308,2.26113,0.000651573,0.000651573,0.000651573
13,2298.08,1.44976,2.18293,1.67307,0.3797,0.35085,0.29265,0.13551,1.9363,3.03124,2.43215,0.000635079,0.000635079,0.000635079
14,2468.33,1.47797,2.11393,1.68236,0.71279,0.36195,0.39895,0.1954,1.90966,2.77384,2.22477,0.000618586,0.000618586,0.000618586
15,2639.26,1.47747,2.05662,1.69257,0.48273,0.29946,0.24658,0.11983,1.95818,3.23643,2.35764,0.000602092,0.000602092,0.000602092
16,2815.53,1.42137,2.02157,1.65683,0.57921,0.38737,0.36833,0.18664,1.78666,2.80466,2.27586,0.000585599,0.000585599,0.000585599
17,2994.28,1.41794,1.94327,1.62953,0.82531,0.24803,0.34966,0.20757,1.87226,2.72856,2.23535,0.000569106,0.000569106,0.000569106
18,3177.29,1.3592,1.89674,1.59821,0.48852,0.35421,0.30136,0.15393,1.99369,3.00602,2.32409,0.000552612,0.000552612,0.000552612
19,3360.55,1.32673,1.80702,1.5613,0.46582,0.31958,0.32444,0.18801,1.78399,2.83011,2.22179,0.000536119,0.000536119,0.000536119
20,3532.14,1.35401,1.82327,1.60378,0.75023,0.30447,0.35201,0.19145,1.83001,2.68929,2.2477,0.000519625,0.000519625,0.000519625
21,3697.17,1.36504,1.73598,1.5748,0.4708,0.38981,0.29423,0.15605,1.89982,2.73114,2.21584,0.000503132,0.000503132,0.000503132
22,3862.6,1.24293,1.64904,1.50139,0.47446,0.30222,0.27093,0.15726,1.75794,2.66027,2.10522,0.000486639,0.000486639,0.000486639
23,4028.78,1.30484,1.68059,1.54511,0.60496,0.2949,0.34739,0.19048,1.83803,2.55667,2.19546,0.000470145,0.000470145,0.000470145
24,4195.81,1.26969,1.576,1.51519,0.65863,0.35614,0.37029,0.2036,1.75692,2.60793,2.16608,0.000453652,0.000453652,0.000453652
25,4363.15,1.27388,1.61744,1.52966,0.45825,0.42458,0.29557,0.16358,1.86067,2.93096,2.33908,0.000437158,0.000437158,0.000437158
26,4530.24,1.23474,1.58136,1.49377,0.60978,0.38821,0.41397,0.21491,1.84166,2.52472,2.21454,0.000420665,0.000420665,0.000420665
27,4698.53,1.22514,1.50149,1.47817,0.57508,0.40267,0.4043,0.21235,1.83438,2.37849,2.21226,0.000404172,0.000404172,0.000404172
28,4867.7,1.19722,1.46318,1.44895,0.68289,0.4087,0.43229,0.22211,1.82845,2.4895,2.19186,0.000387678,0.000387678,0.000387678
29,5036.02,1.24802,1.48059,1.50738,0.63535,0.42764,0.4554,0.23958,1.77885,2.53437,2.19184,0.000371185,0.000371185,0.000371185
